Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
69;accordéoniste;accordionist;akordeoncu;m.f.;akordeonist;21
70;accorder;togrant;uzlaþtýrmak;v.;akorde;22
71;s'accorder;toagree;uzlaþmak;v.;s'akorde;22
72;accorder de l'importance;togive importance;önemsemek;v.;akorde dö l'eñportans;22
73;accouchée;mother (recently);loðusa;f.;akuþe;23
74;accouchement;childbirth;doðum;m.;akuþmañ;23
75;accoucher;togive birth to;doðurmak;v.;akuþe;23
76;faire accoucher ;todeliver;doðurtmak;v.;fer akuþe;23
77;s'accoupler ;tomate;çiftleþmek;v.;s'akuple;8500
78;accrochage;hanging;asma;m.;akroþaj;25
79;accrocher;tohang;asmak;v.;akroþe;25
80;accroissement;increasing;artma, çoðalma;m.;akruasmañ;-1
81;accueil;reception;karþýlama;m.;aköy;26
82;accueillir;towelcome;karþýlamak;v.;aköyir;26
83;accumulation;accumulation;yýðýntý;f.;akümülasyoñ;27
84;s'accumuler ;toaccumulate;yýðýlmak;v.;s'akümüle;27
85;accusation;accusation;itham, suçlama;f.;aküzasyoñ;28
86;accuser;toaccuse;itham etmek;v.;aküze;28
87;accuser;toaccuse;suçlamak;v.;aküze;28
88;s'accuser;toaccuse one self;suçlamak (kendini);v.;s'aküze;28
89;acharné (-e);fierce;azgýn;adj.;aþarne;-1
90;achat;purchase;alýþ veriþ;m.;aþa;29
91;faire des achats / courses;toshop;alýþveriþ yapmak;v.;fer dezaþa / kurs;29
92;acheminement;progress, routing;yol alma;m.;aþöminman;-1
93;acheter;tobuy;satýn almak;v.;aþöte;29
94;acheteur (-euse);buyer, shoper;satýn alan, müþteri;m.f.;aþötör;29
95;achever;toend;bitirmek, sona erdirmek;v.;aþöve;-1
96;acide;acid;asit;m.;asid;-1
97;acier;steel;çelik;m.;asiye;-1
98;acompte;advance;kaparo;m.;akoñt;30
99;acompte;acount;ödeme;m.;akoñt;30
100;acquérir;toacquire;edinmek;v.;akerir;31
101;acquis(-e);acquis;mükteseb(-at) / edinilmiþ;adj.;aki/akiz;31
102;Acquis Communautaire;Community Acquis ;AB Müktesebatý;adj.;aki komünoter;31
103;acrobate;acrobat;cambaz;m.f.;akrobat;-1
104;acrylique;acrilic;akrilik;m.;akrilik;-1
105;acte;act;"hareket, eylem; perde (tiyatro)";m.;akt;733
106;acte de procuration;deed of interim;vekâletname;m.;akt dö prokürasyoñ;733
107;acteur (-trice);actor, actress;aktör-aktris, oyuncu;m.f.;aktör/aktris;-1
108;actif (-ve);active;etkin, faal;adj.;aktif/aktiv;33
109;action;action;hareket, eylem;f.;aksiyoñ;1872
110;action de se voiler;becoming overcast;tesettür (tesettüre girme);m.;aksiyoñ dö sö vuale;-1
111;actionnaire;shareholder;hissedar;m.f.;aksiyoner;-1
112;activement;actively;etkenlikle;adv.;aktivmañ;33
113;activité;activity;etkinlik, faaliyet;f.;aktivite;33
114;actualité;current events,news;güncel olaylar, haberler;f.;aktüalite;34
115;actuel (-le);current;güncel, þimdiki;adj.;aktüel;34
116;actuellement;nowadays;þimdilik;adv.;aktüelmañ;34
117;Adam;Adam;Adem;;Adam;-1
118;adaptation;adaptation;uyma, uyarlama;f.;adaptasyoñ;-1
119;additif;additive;ek, ilâve;m.;aditif;35
120;addition;addition;"toplama, ekleme; hesap (restoran)";f.;adisyoñ;35
121;additionner;toadd;toplamak (mat.), eklemek;v.;adisyone;35
122;adéquat (-e);appropriate;uygun, eksiksiz;adj.;adeka/adekat;-1
123;adhérence;adhesion;baðlýlýk;f.;aderans;-1
124;adhérent (-e);member, adherent;üye, baðlý;adj.;aderañ/aderant;36
125;adhérer;toadhere, to join;katýlmak, baðlanmak;v.;adere;36
126;adhésif (-ve);adhesive;yapýþtýrýcý;adj.;adezif/adeziv;-1
127;adieu;farewell, goodbye;veda, elveda;m.;adiyö;-1
128;adjectif;adjective;sýfat;m.;adjektif;-1
129;admettre;toadmit;kabul etmek, farzetmek;v.;admetr;-1
130;administrateur (-trice);administrator;idareci;m.f.;administratör / -tris;37
131;administratif (-ve);administrative;yönetimsel, idarî;adj.;administratif/-iv;37
132;administration;administration;yönetim, idare;f.;administrasyoñ;37
133;administrativement;administratively;yönetimsel, idarî bakýmdan;adv.;administartivmañ;37
134;admirateur (-trice);admirer, fun;hayran;m.f.;admiratör;38
135;admiration;admiration;hayranlýk;f.;admirasyoñ;38
136;admirer;toadmire;hayran olmak;v.;admire;38
137;admissible;admissible;kabul edilebilir;adj.;admisibl;39
138;admission;admission;kabul;f.;admisyoñ;39
139;ADN;DNA;DNA;f.;adeen;-1
140;adolescence;adolescence;yeniyetmelik;f.;adolesans;40
141;adolescent (-e);teenager;buluð çaðýndaki çocuk;m.f.;adolesañ/-ant;40
142;adopté (-e);adopted child;evlâtlýk;m.f.;adopte;41
143;adopter;toadopt;evlât edinmek;v.;adopte;41
144;adoption;adoption;kabul etme;f.;adopsiyoñ;41
145;adoration;worship;tapýnma;f.;adorasyoñ;42
146;adorer;toadore, to worship;tap(ýn)mak,  taparcasýna sevmek;v.;adore;42
147;adresse;adress ;adres, baþvuru;f.;adres;43
148;adresse électronique;adress electronic;adres elektronik;f.;adres elektronik;43
149;adresser;tosend, speak to…;söylemek, ….yöneltmek;v.;adrese;43
150;s'adresser à…;toapply for;baþvurmak;v.;s'adrese;43
151;adroit (-e);skillful;becerikli;adj.;adrua/adruat;44
152;adroitement;skilfully;becerikli bir þekilde;adv.;adruatmañ;44
153;adulte;adult;ergen, yetiþkin;m.;adült;-1
154;adultère;adultery, fornication;zina;m.;adülter;-1
155;adverbe;adverb;zarf;m.;adverb;-1
156;adversaire;opponent;hasým, karþýt;m.f.;adverser;-1
157;aération;airing, ventilation;havalandýrma;f.;aerasyoñ;-1
158;aérogare;airport;havalimaný;f.;aerogar;-1
159;aéroport;airport;havaalaný;m.;aeropor;-1
160;affaires;affair, business;mesele, iþ;m.;afer;45
161;affaires;belongings;þey, eþya;m.;afer;45
162;affaires étrangères;foreign affairs;dýþiþleri, hariciye;f.;afer etrañjer;45
163;affamé (-e);hungry;aç;adj.;afame;46
164;être affecté;tobe affected;duygulanmak;v.;etr afekte;47
165;affection;affection;þefkat, sevgi;f.;afeksiyoñ;47
166;affectueusement;affectionnately;þefkatli, sevgi dolu bir biçimde;adv.;afektüözmañ;47
167;affectueux (-euse);affectionnate;þefkatli, sevgi dolu;adj.;afektüö/-öz;47
168;affiche;poster;afiþ;f.;afiþ;48
169;panneau d'affichage;notice board;ilân panosu;m.;panô d'afiþaj;48
170;afficher;to display;ilân etmek;v.;afiþe;48
171;affilier;toaffiliate;üye yapmak;v.;afiliye;-1
172;affirmatif (-ve);affirmative;doðrulayýcý, olumlu;adj.;afirmatif/-iv;49
173;affirmation;assertion;doðrulama, olumlama;f.;afirmasyoñ;49
174;affirmer;toassert;doðrulamak, olumlamak;v.;afirme;49
175;affliger;toafflict;kasýp kavurmak;v.;aflije;-1
176;affolé (-e);panicstricken;çýlgýna, þaþkýna dönmüþ;adj.;afole;50
177;affolement;panic;çýlgýnlýk, þaþkýnlýk;m.;afolmañ;50
178;affranchir;toset free;özgür kýlmak;v.;afrañþir;51
179;affranchissement;confrontation;özgür kýlma;m.;afrañþismañ;51
180;Afghan (-e);Afghan;Afgan;m.f.;afgañ/afgan;52
181;l'Afghanistan ;Afghanistan ;Afganistan;m.;afganistañ;52
182;afin de + infinitif;order to;… mek için;prép.;afen dö;53
183;afin que + subjonctif;order to; … sýn diye;prép.;afen kö;53
184;Africain (-e);African;Afrikalý;m.f.;afrikeñ/-en;54
185;l'Afrique ;Africa;Afrika;f.;afrik;54
186;agacé ( -e);irritated, annoyed;kamaþmýþ, rahatsýz olmuþ;adj.;agase;55
187;agacement;irritation;"kamaþma (diþ); kýzdýrma";m.;agasmañ;55
188;agacer;toprovoke;kamaþtýrmak, kýzdýrmak;v.;agase;55
189;âge;age, period, epoch;devir, yaþ, çað;m.;aj;56
190;âgé (-e);aged;yaþlý, olgun;adj.;aje;56
191;avoir l'âge de maturité;to be of age;eriþkin olmak;v.;avuar laj dö matürite;56
192;agence;agency;acenta;f.;ajans;57
193;agence de presse;news agency;basýn ajansý;f.;ajans dö pres;57
194;agence de voyage;travel agency;seyahat acentasý;f.;ajans dö vuayaj;57
195;agenouillé (-e);kneeled down;diz çökmüþ;adj.;ajönuye;58
196;s'agenouiller;tokneel down;diz çökmek;v.;s'ajönuye;58
197;agent;agent;görevli, ajan;m.;ajañ;59
198;agent de police;policeman;polis memuru;m.;ajañ dö polis;59
199;agent provocateur (-trice);spy;muhbir;m.;ajañ provokatör/-tris;59
200;agglomération;built-up area;yerleþim yeri;f.;aglomerasyoñ;-1
201;s'aggraver ;togrow worse;fenalaþmak, vahimleþmek;v.;s'agrave;60
202;agile;agile;çevik;adj.;ajil;61
203;agilité;agility, vivacity;çeviklik;f.;vivasite;61
204;agir;toact;davranmak;v.;ajir;1872
205;agitation;agitation;çalkantý;f.;ajitasyoñ;62
206;agité (-e);agitated;huzursuz, çalkantýlý;adj.;ajite;62
207;agiter;toagitate;huzursuzlaþtýrmak, çalkalamak;v.;ajite;62
208;agneau;lamb;kuzu;m.;anyo;-1
209;agnostique;agnostic;bilinmezliðe deðin;adj.;anyostik;-1
210;agrafe;staple;kopça;f.;agraf;63
211;agrafeuse;stapler;zýmba;f.;agraföz;63
212;agrandir;toenlarge;büyütmek;v.;agrañdir;64
213;agréable;pleasant, agreeable;hoþ, sevimli;adj.;agreabl;65
214;agréablement;pleasantly, agreeably;hoþ, sevimli bir biçimde;adv.;agreabl(ö)mañ;65
215;agressif (-ve);agressive;saldýrgan;adj.;agresif/-iv;66
216;agressivement;agressively;saldýrgan bir biçimde;adv.;agresivmañ;66
217;agressivité;agressiveness;saldýrganlýk;f.;agresivite;66
218;agricole;agricultural;tarýmsal, ziraî;adj.;agrikol;67
219;agriculteur (-trice);farmer;ziraatçý;m.f.;agrikültör/-tris;67
220;agriculture;agriculture, farming;tarýmcýlýk, ziraat, çiftçilik, tarým;f.;agrikültür;67
221;aide;help ;yardým;f.;ed;68
222;aider;tohelp ;yardým etmek;v.;ede;68
223;aigle;eagle;kartal;m.f.;egl;-1
224;aigre;sour;ekþi;adj.;egr;69
225;aigre-doux;sweet and sour;mayhoþ;adj.;egr-du;69
226;aigriette;sour cherry;viþne;f.;egriyet;69
227;aigu (-ë);sharp;sivri;adj.;egü;70
228;aiguille;needle;iðne;f.;egüiy;70
229;ail;garlic;sarýmsak, sarýmsak;m.;ay;-1
230;aile;wing;kanat;f.;el;-1
231;ailleurs;elsewhere;baþka yerler, uzaklar;adv.;ayör;71
232;d'ailleurs;more over;zaten;adv.;d'ayör;71
233;aimable;friendly;sevimli;adj.;emabl;72
234;aimant;magnet;mýknatýs;m.;emañ;72
235;aimer;tolike;beðenmek, hoþlanmak;v.;eme;72
236;aimer ;tolove, to like;sevmek;v.;eme;72
237;aîné (-e);elder, olther than...;yaþça büyük olan;adj.;ene;73
238;ainsi;so, like this, like that;öylece, böylece, þöyle;adv.;eñsi;-1
239;air;air;hava;m.;er;-1
240;aire;area;alan;f.;er;-1
241;ajouter;toadd;katmak, eklemek;v.;ajute;-1
242;alarme ;alarm;alarm, tehlike iþareti;f.;alarm;74
243;alarme d'incendie;fire alarm;yangýn alarmý;f.;alarm d'ensandi;74
244;Albanais (-e);Albanian;Arnavut;m.f.;albane / albanez;75
245;Albanie;Albania;Arnavutluk;f.;albani;75
246;alchimie;alchemy;simya;f.;alþimi;-1
247;alcool;alcohol;alkol, içki;m.;alkol;76
248;alcoolique;alcoholic;alkolik;adj.;alkolik;76
249;aux alentours;around;civarýnda;adv.;ozalantur;-1
250;alerte;alert;uyarý;f.;alert;-1
251;Alévi;Alevi;Alevî;m.f.;Alevi;77
252;Alevisme;Alevism;Alevîlik;m.;Alevizm;77
253;algèbre;algebra;cebir;f.;aljebr;78
254;algébrique;algebraical;cebirsel;adj.;aljebrik;78
255;l'Algérie;Algeria;Cezayir;f.;aljeri;79
256;Algérien (-ne);Algerian;Cezayirli;m.f.;aljeriyeñ/-en;79
257;aligné(-e);lined;hizalý;adj.;alinye;80
258;aligner;toalign;hizalamak, sýralamak;v.;alinye;80
259;aliment;fare;besin;m.;alimañ;81
260;alimentation;feeding;beslenme;f.;alimañtasyon;81
261;sous-alimenté (-e);undernourished;yetersiz beslenme;adj.;suzalimañte;81
262;alimenter;tofeed;beslemek, doyurmak;v.;alimañte;81
263;alité (-e);bed ridden;yatalak;adj.;alite;82
264;allaiter;tosuckle, to feed;emzirmek;v.;alete;85
265;allée;alley, walk, drive;gidiþ, aðaçlý yol;f.;ale;83
266;allégé (-e);diet, low-fat;hafifletilmiþ;adj.;aleje;86
267;l'Allemagne ;Germany;Almanya;f.;alömayn/almayn;84
268;Allemand (-e);German;Alman;m.f.;almañ/almand;84
269;aller;togo;gitmek;v.;ale;83
270;s'en aller;toget out;defolmak;v.;s'añ ale;83
271;aller bien;tobe suitable;yakýþmak;v.;ale biyeñ;83
272;allergie;allergy;alerji, itinç;f.;alerji;87
273;allergique;allergic;alerjili, alerjik;adj.;alerjik;87
274;aller-retour;return ticket, round trip;gidiþ-dönüþ bilet;m.;ale-rötur;83
275;aller-simple;one-way ticket;tek yön bilet;m.;ale-sempl;83
276;allez-y, vas-y, allons-y;go on;haydi;v.;alezi, vazi, alonzi;83
277;alliage;alloy;alaþým (kim,), katýþým;m.;aliyaj;89
278;allié (-e);ally, allied;müttefik;m.f.;aliye;89
279;allier;to ally;birleþtirmek;v.;aliye;89
280;s'allier;tobecome allied with;birleþmek;v.;s'aliye;89
281;allocation;allowance;ödenek;f.;alokasyoñ;88
282;allocation-chômage;unemployment benefit;iþsizlik ödeneði;f.;alokasyoñ-þomaj;88
283;allongé (-e);elongated;uzamýþ, sarkmýþ;adj.;aloñje;90
284;allongement;lengthening;uzatma, uzama;m.;alonjman;90
285;allonger;tolengthen;uzatmak;v.;aloñje;90
286;s'allonger;tolengthen;uzanmak;v.;s'alonje;90
287;allons-y / allez-y / vas-y;go on;hadi, haydi;v.;vazi, alonzi, alezi;83
288;allumer;tolight, put on, switch on;yakmak, çalýþtýrmak(tv, radio, lamba);v.;alüme;91
289;s'allumer;tocome on;yanmak;v.;s'alüme;91
290;allumette;match;kibrit;f.;alümet;91
291;allure;look;tutum;f.;alür;-1
292;alors;then, so;o zaman, o sýrada;adv.;alor;-1
293;alphabet;alphabet;alfabe;m.;alfabe;92
294;alphabétiser;toteach and read and write;okuma yazma öðretmek;v.;alfabetize;92
295;Alpes;theAlps;Alpler;pl.;alp;93
296;alpinisme;mountaineerig;daðcýlýk;m.;alpinizm;93
297;alpiniste;climber, mountainer;daðcý;m.f.;alpinist;93
298;altitude;altitude;irtifa, rakým;f.;altitüd;-1
299;aluminium;aluminium;alüminyum;m.;alüminyom;-1
300;alvéole;cell;petek;m.;alveol;-1
301;amabilité;kindness;sevimlilik, tatlýlýk;f.;amabilite;72
302;amande;almond, kernel;badem, çekirdek içi;f.;amand;94
303;amandier;almond tree;badem aðacý;m.;amañdiye;94
304;amant (-e);lover;sevgili;m.f.;amañ/amant;-1
305;amas;pile;birikinti;m.;ama;95
306;s'amasser ;topile up;birikmek;v.;amase;95
307;amateur;amateur;amatör, hevesli;m.;amatör;-1
308;ambassade;embassy;sefaret;f.;añbasad;96
309;ambassadeur (-drice);ambassador;elçi, büyükelçi;m.f.;añbasadör/-dris;96
310;ambiance;atmosphere;ortam;f.;ambiyans;-1
311;ambigu (-ë);ambiguous;belirsiz, anlaþýlmaz (iki anlamlý);adj.;añbigü;97
312;ambiguïté;ambiguity;anlaþýlmazlýk (iki anlamlý olma);f.;añbigüite;97
313;ambitieusement;ambitiously;hýrslý bir biçimde;adv.;ambisiyözmañ;98
314;ambitieux (-euse);ambitious;hýrslý, haris;adj.;añbisiyö / -öz;98
315;ambition;ambition;hýrs;f.;añbisyoñ;98
316;ambre jaune;amber;kehribar;m.;añbr;-1
317;ambulance;ambulance;ambülans;f.;añbülans;-1
318;âme;soul;ruh;m.;am;-1
319;amélioration;improvement, renewal;düzeltme, iyileþtirme;f.;ameliyorasyoñ;99
320;améliorer;tocorrect;düzeltmek, iyileþtirmek;v.;ameliyore;99
321;amende;fine, penalty;para cezasý;f.;amand;-1
322;amener;tobring;getirmek (birini);v.;amöne;695
323;amer (amère);bitter;acý (badem acýsý);adj.;amer/amer;101
324;américain (-e);american;Amerika ile ilgili;adj.;amerikeñ/-en;100
325;Américain (-e);American;Amerikalý;m.f.;amerikeñ/-en;100
326;Amérique;America;Amerika;f.;amerik;100
327;Amérique du Nord;North America;Kuzey Amerika;f.;amerik dü nor;100
328;Amérique du Sud;South America;Güney Amerika;f.;amerik dü süd;100
329;amertume;bitterness;acýlýk (badem acýsý);f.;amertüm;101
330;ami (-e);friend;arkadaþ;m.f.;ami;72
331;amidon;starch;niþasta;m.;amidoñ;-1
332;amiral;general, admiral;orgeneral;m.;amiral;2381
333;amitié;friendship;arkadaþlýk, yarenlik;f.;amitiye;72
334;amour;love;aþk;m.;amur;72
335;faire l'amour;tomake love;seviþmek;v.;fer l'amur;72
336;amoureusement;lovingly;âþýk bir biçimde;adv.;amurözmañ;72
337;amoureux (-euse);personne in love, lover;âþýk, sevdalý;adj.;amurö/amuröz;72
338;amphithéâtre;amphitheatre;anfitiyatro;m.;añfiteatr;-1
339;ample;vast, roomy;geniþ, bol;adj.;añpl;102
340;amplitude;amplitude;enginlik;f.;añplitüd;102
341;ampoule (électrique);ampule;ampul;f.;añpul (elektrik);-1
342;ampoule (pied);blister;su toplama (ayak);f.;añpul ;-1
343;amusant (-e);funny, enjoyable;zevkli, eðlenceli;adj.;amüzañ/amüzant;103
344;amuse gueule;appetizer;çerez;m.;amüz göl;103
345;amuse-gueule;dried fruits, appetizer;kuruyemiþ;m.;amüz-göl;103
346;amusement;entertainment;eðlence;m.;amüzmañ;103
347;amuser;toamuse;eðlendirmek;v.;amüze;103
348;s'amuser;tohave fun, to enjoy oneself;eðlenmek;v.;amüze;103
349;amygdale;tonsil;bademcik;f.;amigdal;-1
350;an;year;yýl;m.;añ;104
351;analogie;analogy;benzeþim;f.;analoji;105
352;analogique;analogical;örneksemeli;adj.;analojik;105
353;analogue;analogous, similar;andýran, benzeþen;adj.;analog;-1
354;analphabète;illiterate;okuma yazma bilmeyen;adj.;analfabet;92
355;analyse;analysis, test (méd.);çözümleme, inceleme, tahlil;f.;analiz;106
356;analyser;toanalyse;çözümlemek;v.;analize;106
357;analytique;analytical;çözümlü;adj.;analitik;-1
358;ananas;pineapple;ananas;m.;anana(s);-1
359;l'Anatolie ;Anatolia;Anadolu;f.;anatoli;-1
360;ancien (-ne);old, ancient, antique;eski, antika;adj.;ansiyeñ/-yen;107
361;Ancien Testament;Torah;Tevrat;m.;añsiyen testamañ;107
362;ancienneté;oldness, antiquity;eskilik;f.;ansiyente;107
363;ancienneté;sentant;kýdem;f.;ansiyente;107
364;ancre;anchor;çapa;f.;ankr;-1
365;âne (ânesse);donkey, ass;eþek;m.f.;an;108
366;anéantir;todestroy;mahvetmek;v.;aneantir;-1
367;anecdote;anecdote;fýkra;f.;anekdot;-1
368;ânesse;she-ass;diþi eþek;f.;anes;108
369;anesthésie;anaesthetic;anestezi, uyuþturma;f.;anestezi;109
370;anesthésier;toanaesthetize;anestezi yapmak, uyuþturmak;v.;anesteziye;109
371;anesthésiste;anaesthetist;anestezist;m.f.;anestezist;109
372;ange;angel;melek;m.;anj;-1
373;angine;throat infection;anjin, boðak;f.;anjin;-1
374;Anglais (-e);English;Ýngiliz;m.f.;añgle/añglez;110
375;anglais;english;ingilizce;m.;añgle;110
376;angle;angle;açý;m.;angl;-1
377;Angleterre;England;Ýngiltere;f.;añglöter;110
378;anglophone;english speaker;ingilizce konuþan;m.f.;añglofon;110
379;angoisse;anxiety;iç sýkýntýsý;f.;añguas;-1
380;angora;angora;tiftik;m.;añgora;-1
381;animal;animal;hayvan;m.;animal;-1
382;animateur (-trice);organizer, leader;organizatör, sunucu;m.f.;animatör/-tris;111
383;animé (-e);animate;canlý;adj.;anime;111
384;animer;toanimate;canlandýrmak, hareketlendirmek;v.;anime;111
385;animer (un spectacle);tocompere;sunmak (gösteri);v.;anime;111
386;anneau;ring;halka;m.;ano;-1
387;année;year;sene, yýl;f.;ane;104
388;année-lumière;light year;ýþýk yýlý;f.;ane-lümiyer;104
389;annexe;annex, annexe;iliþik belge, bina vs;f.;aneks;-1
390;anniversaire;birthday, anniversary;doðumgünü, yýldönümü;m.;aniverser;104
391;annonce;announcement;duyuru, ilan;f.;anons;105
392;annoncer;toannounce;ilan etmek, duyurmak, bildirmek;v.;anonse;105
393;annuaire téléphonique;telephone book;telefon rehberi;m.;anüer telefonik;-1
394;annuel (-le);annual;yýllýk, yýlda bir ;adj.;anüel;104
395;annuellement;annually, yearly;yýllýk, yýlda bir olan;adv.;anüelmañ;104
396;annulation;cancellation;iptal;f.;anülasyon;106
397;annuler;tocancel;iptal etmek, feshetmek;v.;anüle;106
398;anorak;anorak;anorak;m.;anorak;-1
399;anormal (-e);abnormal;anormal;adj.;anormal;107
400;anormalement;abnormally;olaðandýþý, anormal bir þekilde;adv.;anormalmañ;107
401;l'Antarctique ;Antarctica;Antartika;f.;antarktik;-1
402;antécédents;background;sâbýka;m.;añtesedañ;-1
403;antenne;aerial, antenna;anten;f.;anten;-1
404;antérieur (-e);former;önceki;adj.;anteriyör;108
405;antérieurement;formerly;önceleri;adv.;anteriyörman;108
406;antériorité;precedence;öncelik, eskilik;f.;anteriyorite;108
407;antipathie;antipathy;sevimsizlik, antipati;f.;antipati;109
408;antipathique;unpleasant;sevimsiz, antipatik;adj.;antipatik;109
409;antique;ancient;eski yapýt, antika;adj.;antik;-1
410;Antiquité;antique, Antiquity;eskilik, Ýlkçað;f.;antikite;-1
411;antithèse;antithesis;antitez;f.;añtitez;-1
412;anus;anus;makat;m.;anüs;-1
413;anxiété;anxiety;kasavet;f.;anksiyete;110
414;anxiété;anxiety;kaygý, sýkýntý;f.;anksiyete;110
415;anxieusement;anxiously;kaygýlý, sýkýntýlý bir biçimde;adv.;anksiyözmañ;110
416;anxieux (-euse);anxious;kaygýlý, sýkýntýlý;adj.;anksiyö/-öz;110
417;août;August;Aðustos;m.;ut;-1
418;apaiser;tocalm;yatýþtýrmak;v.;apeze;111
419;s'apaiser;tocalm down;yatýþmak;v.;s'apeze;111
420;apercevoir;toperceive, to see;fark etmek;v.;apersövuar;112
421;s'apercevoir;torealize;farkýna varmak, anlamak;v.;s'apersövuar;112
422;apéritif;aperitive;iþtah açýcý içecek;m.;aperitif;-1
423;aphorisme;aphorism;özdeyiþ;m.;aforizm;-1
424;apparaître;toappear;belirmek;v.;aparetr;113
425;appareil;apparatus;alet;m.;aparey;114
426;appareil photo;camera;fotoðraf makinesi;m.;aparey foto;114
427;apparemment;apparently;görünüþe göre;adv.;aparamañ;113
428;apparence;appearence;görünüþ, dýþ görünüþ;f.;aparans;113
429;apparent (-e);apparent, visible;görünür;adj.;aparañ/aparant;113
430;apparition;appearance;görünme, belirme;f.;aparisyoñ;113
431;appartement;flat;daire;m.;apartmañ;-1
432;appartenance;membership;ait olma, aidiyet;f.;apartönans;115
433;appartenir à;tobelong to;ait olmak;v.;apartönir;115
434;appel;phone call;çaðrý;m.;apel;116
435;appel à la prière;call to pray;ezan;m.;apel a la priyer;116
